"short_rep_motif"	"rep_motif"	"max"	"avg_exp"	"color"	"other_clust_motifs"
"JunB.bZIP."	"JunB.bZIP..DendriticCells.Junb.ChIP.Seq.GSE36099..Homer"	"7.93336933687819"	"0.991671167109774"	"turquoise"	"Fra2.bZIP..Striatum.Fra2.ChIP.Seq.GSE43429..Homer|Jun.AP1.bZIP..K562.cJun.ChIP.Seq.GSE31477..Homer|Atf3.bZIP..GBM.ATF3.ChIP.Seq.GSE33912..Homer|Fra1.bZIP..BT549.Fra1.ChIP.Seq.GSE46166..Homer|BATF.bZIP..Th17.BATF.ChIP.Seq.GSE39756..Homer|Fosl2.bZIP..3T3L1.Fosl2.ChIP.Seq.GSE56872..Homer|AP.1.bZIP..ThioMac.PU.1.ChIP.Seq.GSE21512..Homer"
"HNF6.Homeobox."	"HNF6.Homeobox..Liver.Hnf6.ChIP.Seq.ERP000394..Homer"	"1.92917432765807"	"0.964587163829034"	"grey60"	"Cux2.Homeobox..Liver.Cux2.ChIP.Seq.GSE35985..Homer"
"p53.p53..Saos.p53.ChIP.Seq.GSE15780."	"p53.p53..Saos.p53.ChIP.Seq.GSE15780..Homer"	"4.73631716529027"	"0.947263433058053"	"skyblue"	"p63.p53..Keratinocyte.p63.ChIP.Seq.GSE17611..Homer|p53.p53..Saos.p53.ChIP.Seq.Homer|p73.p53..Trachea.p73.ChIP.Seq.PRJNA310161..Homer|p53.p53..mES.cMyc.ChIP.Seq.GSE11431..Homer"
"DMRT1.DM."	"DMRT1.DM..Testis.DMRT1.ChIP.Seq.GSE64892..Homer"	"1.99620863255884"	"0.998104316279421"	"bisque4"	"DMRT6.DM..Testis.DMRT6.ChIP.Seq.GSE60440..Homer"
"Nr5a2.NR..Pancreas.LRH1.ChIP.Seq.GSE34295."	"Nr5a2.NR..Pancreas.LRH1.ChIP.Seq.GSE34295..Homer"	"3.91028768540847"	"0.977571921352118"	"honeydew1"	"Esrrb.NR..mES.Esrrb.ChIP.Seq.GSE11431..Homer|SF1.NR..H295R.Nr5a1.ChIP.Seq.GSE44220..Homer|Nr5a2.NR..mES.Nr5a2.ChIP.Seq.GSE19019..Homer"
"CEBP.bZIP."	"CEBP.bZIP..ThioMac.CEBPb.ChIP.Seq.GSE21512..Homer"	"1.76174720657227"	"0.880873603286134"	"skyblue1"	"HLF.bZIP..HSC.HLF.Flag.ChIP.Seq.GSE69817..Homer"
"Olig2.bHLH."	"Olig2.bHLH..Neuron.Olig2.ChIP.Seq.GSE30882..Homer"	"2.75550676204745"	"0.918502254015815"	"thistle"	"NeuroG2.bHLH..Fibroblast.NeuroG2.ChIP.Seq.GSE75910..Homer|ZBTB18.Zf..HEK293.ZBTB18.GFP.ChIP.Seq.GSE58341..Homer"
"BORIS.Zf."	"BORIS.Zf..K562.CTCFL.ChIP.Seq.GSE32465..Homer"	"1.94066278916976"	"0.970331394584882"	"blue"	"CTCF.Zf..CD4..CTCF.ChIP.Seq.Barski_et_al...Homer"
"Atf4.bZIP."	"Atf4.bZIP..MEF.Atf4.ChIP.Seq.GSE35681..Homer"	"2.89289768596986"	"0.964299228656621"	"yellow"	"CEBP.AP1.bZIP..ThioMac.CEBPb.ChIP.Seq.GSE21512..Homer|Chop.bZIP..MEF.Chop.ChIP.Seq.GSE35681..Homer"
"ERG.ETS."	"ERG.ETS..VCaP.ERG.ChIP.Seq.GSE14097..Homer"	"4.76216372331245"	"0.95243274466249"	"pink"	"ELF3.ETS..PDAC.ELF3.ChIP.Seq.GSE64557..Homer|ETS1.ETS..Jurkat.ETS1.ChIP.Seq.GSE17954..Homer|Etv2.ETS..ES.ER71.ChIP.Seq.GSE59402..Homer.0.967.|Ets1.distal.ETS..CD4..PolII.ChIP.Seq.Barski_et_al...Homer"
"E2A.bHLH."	"E2A.bHLH..proBcell.E2A.ChIP.Seq.GSE21978..Homer"	"4.86175276801495"	"0.972350553602989"	"magenta"	"MyoD.bHLH..Myotube.MyoD.ChIP.Seq.GSE21614..Homer|Ptf1a.bHLH..Panc1.Ptf1a.ChIP.Seq.GSE47459..Homer|Ascl1.bHLH..NeuralTubes.Ascl1.ChIP.Seq.GSE55840..Homer|Tcf12.bHLH..GM12878.Tcf12.ChIP.Seq.GSE32465..Homer"
"AP.2gamma.AP2."	"AP.2gamma.AP2..MCF7.TFAP2C.ChIP.Seq.GSE21234..Homer"	"1.98699052622723"	"0.993495263113616"	"greenyellow"	"AP.2alpha.AP2..Hela.AP2alpha.ChIP.Seq.GSE31477..Homer"
"ZNF467.Zf."	"ZNF467.Zf..HEK293.ZNF467.GFP.ChIP.Seq.GSE58341..Homer"	"1.74399164275187"	"0.871995821375936"	"salmon"	"Zfp281.Zf..ES.Zfp281.ChIP.Seq.GSE81042..Homer"
